ID	adj.P.Val	P.Value	t	B	logFC	ORF	SPOT_ID
CLU	0.552	0.0458939	2.082557	-3.8435	0.06298046	CLU	
CCDC126	0.552	0.0459207	-2.082281	-3.8439	-0.20211565	CCDC126	
CDC6	0.552	0.0459285	-2.082202	-3.844	-0.06518924	CDC6	
NDUFB5	0.552	0.0459301	-2.082185	-3.8441	-0.14643487	NDUFB5	
HNRNPAB	0.552	0.0459313	-2.082173	-3.8441	-0.21874078	HNRNPAB	
CPSF4	0.552	0.045939	2.082094	-3.8442	0.09627952	CPSF4	
LOC728263	0.552	0.0459703	-2.081773	-3.8447	-0.12029277	LOC728263	
UBE2G2	0.552	0.0459759	2.081717	-3.8448	0.18545795	UBE2G2	
ZNF557	0.552	0.0459784	2.081691	-3.8449	0.12656108	ZNF557	
LOC646422	0.552	0.0459928	2.081543	-3.8451	0.08106017	LOC646422	
LOC729312	0.552	0.0460002	2.081468	-3.8452	0.05655613	LOC729312	
DKFZP781N1041	0.552	0.046005	-2.081419	-3.8453	-0.06249353	DKFZP781N1041	
COPS2	0.552	0.0460188	2.081278	-3.8456	0.21057931	COPS2	
ZC3H4	0.552	0.0460396	2.081065	-3.8459	0.13613456	ZC3H4	
LOC402175	0.552	0.0460903	-2.080547	-3.8468	-0.12133397	LOC402175	
SERF2	0.552	0.046103	-2.080417	-3.847	-0.11828097	SERF2	
NDUFA8	0.552	0.0461086	-2.08036	-3.8471	-0.23834987	NDUFA8	
HS.543899	0.552	0.046117	-2.080274	-3.8472	-0.05226207	HS.543899	
LOC643358	0.552	0.0461199	2.080245	-3.8472	0.11793803	LOC643358	
VAC14	0.552	0.0462008	-2.07942	-3.8486	-0.08646066	VAC14	
LRP5L	0.552	0.0462028	2.079399	-3.8486	0.36776312	LRP5L	
DNMBP	0.552	0.0462035	-2.079392	-3.8486	-0.05547092	DNMBP	
LOC729806	0.552	0.0462109	2.079317	-3.8488	0.26042173	LOC729806	
ZNF837	0.552	0.0462158	2.079267	-3.8489	0.11375918	ZNF837	
DNAJC21	0.552	0.0462258	-2.079165	-3.849	-0.06023515	DNAJC21	
RASSF3	0.552	0.0462285	-2.079138	-3.8491	-0.07568861	RASSF3	
DDR2	0.552	0.0462354	2.079068	-3.8492	0.06336671	DDR2	
IVD	0.552	0.0462384	-2.079037	-3.8492	-0.16458021	IVD	
INO80D	0.552	0.0462709	2.078706	-3.8498	0.17477566	INO80D	
MUM1	0.552	0.0462757	2.078658	-3.8499	0.17531818	MUM1	
ETF1	0.552	0.0463302	2.078103	-3.8508	0.23148258	ETF1	
SYP	0.552	0.0463305	-2.0781	-3.8508	-0.06274542	SYP	
SNORA72	0.552	0.0463427	2.077976	-3.851	0.27367682	SNORA72	
TBCB	0.552	0.0463583	-2.077818	-3.8512	-0.17674754	TBCB	
STK17A	0.552	0.0464226	-2.077165	-3.8523	-0.11881012	STK17A	
RUNDC1	0.552	0.0464332	-2.077057	-3.8525	-0.21227809	RUNDC1	
SLC7A6OS	0.552	0.0464336	-2.077054	-3.8525	-0.14585115	SLC7A6OS	
NPAT	0.552	0.0464431	2.076957	-3.8526	0.15113665	NPAT	
EID2	0.552	0.0464461	-2.076926	-3.8527	-0.15561387	EID2	
NHLRC2	0.552	0.0464513	-2.076873	-3.8528	-0.17536944	NHLRC2	
YRDC	0.552	0.0464652	2.076733	-3.853	0.3171245	YRDC	
PICALM	0.552	0.0464737	-2.076646	-3.8531	-0.22160778	PICALM	
EXOSC1	0.552	0.0464881	-2.076501	-3.8534	-0.12499686	EXOSC1	
LOC642263	0.552	0.0464998	2.076382	-3.8536	0.06270409	LOC642263	
NFKBIZ	0.552	0.0465126	2.076253	-3.8538	0.81379806	NFKBIZ	
LOC644124	0.552	0.0465339	-2.076037	-3.8541	-0.11500708	LOC644124	
LOC652593	0.552	0.0465508	2.075866	-3.8544	0.06017638	LOC652593	
MMEL1	0.552	0.0465688	-2.075683	-3.8547	-0.07796482	MMEL1	
GTF3C5	0.552	0.0465938	-2.07543	-3.8551	-0.17341095	GTF3C5	
LOC653566	0.552	0.0466062	-2.075305	-3.8553	-0.16327297	LOC653566	
LOC100133050	0.552	0.0466739	-2.074621	-3.8565	-0.06761602	LOC100133050	
MRPS6	0.552	0.0467027	-2.07433	-3.8569	-0.12451468	MRPS6	
LRRC19	0.552	0.0467454	2.0739	-3.8576	0.05759671	LRRC19	
ARL3	0.552	0.046768	-2.073672	-3.858	-0.07794077	ARL3	
TAS2R42	0.552	0.0467734	-2.073617	-3.8581	-0.05799657	TAS2R42	
LOC648626	0.552	0.0468272	-2.073076	-3.859	-0.06706068	LOC648626	
UGT2B10	0.552	0.0468321	2.073026	-3.8591	0.04677458	UGT2B10	
GAK	0.552	0.0468489	2.072857	-3.8594	0.12967293	GAK	
LST1	0.552	0.0468711	-2.072634	-3.8597	-0.31214342	LST1	
FMOD	0.552	0.0468855	2.072489	-3.86	0.06322588	FMOD	
LOC730004	0.552	0.0468875	2.072469	-3.86	0.17739117	LOC730004	
LOC645282	0.552	0.0468988	-2.072355	-3.8602	-0.06895958	LOC645282	
SFRS13A	0.552	0.046912	2.072223	-3.8604	0.2039379	SFRS13A	
OFCC1	0.552	0.0469243	-2.072099	-3.8606	-0.05700536	OFCC1	
TNFSF13	0.552	0.0469369	-2.071972	-3.8608	-0.18076667	TNFSF13	
CKS2	0.552	0.0469418	-2.071923	-3.8609	-0.32775928	CKS2	
LOC727908	0.552	0.0469722	2.071617	-3.8614	0.32366907	LOC727908	
ATP5D	0.552	0.0469808	-2.071532	-3.8615	-0.16294656	ATP5D	
BVES	0.552	0.0469882	-2.071457	-3.8616	-0.03577857	BVES	
ARL16	0.552	0.0470042	2.071296	-3.8619	0.49148444	ARL16	
LOC100130575	0.552	0.0470137	2.071201	-3.8621	0.09491784	LOC100130575	
STARD3NL	0.552	0.0470141	-2.071197	-3.8621	-0.19196832	STARD3NL	
PSME4	0.552	0.0470266	2.071072	-3.8623	0.22951235	PSME4	
SERINC3	0.552	0.0470469	-2.070868	-3.8626	-0.12823432	SERINC3	
HS.164406	0.552	0.0470893	2.070443	-3.8633	0.09731762	HS.164406	
GATA6	0.552	0.0471178	-2.070158	-3.8638	-0.07567962	GATA6	
C17ORF65	0.552	0.0471187	-2.070149	-3.8638	-0.15848848	C17ORF65	
RNASE6	0.552	0.0471502	-2.069833	-3.8643	-0.4011933	RNASE6	
TRIM21	0.552	0.0471535	-2.0698	-3.8643	-0.18354871	TRIM21	
ZFP3	0.552	0.0471977	-2.069358	-3.8651	-0.18883329	ZFP3	
DDX51	0.552	0.0472044	2.069291	-3.8652	0.5467962	DDX51	
KIAA1160	0.552	0.0472165	-2.06917	-3.8654	-0.13882902	KIAA1160	
SNORA27	0.552	0.0472373	2.068962	-3.8657	0.20589349	SNORA27	
AXUD1	0.552	0.0472513	2.068822	-3.8659	0.30972896	AXUD1	
RSHL3	0.552	0.0472624	2.068711	-3.8661	0.05472923	RSHL3	
C16ORF53	0.552	0.0472645	-2.06869	-3.8662	-0.24377454	C16ORF53	
STARD13	0.552	0.047274	-2.068596	-3.8663	-0.0337947	STARD13	
SCD5	0.552	0.0472895	-2.068441	-3.8666	-0.1447657	SCD5	
LOC642268	0.552	0.0473223	2.068114	-3.8671	0.06227891	LOC642268	
CEACAM5	0.552	0.0473417	-2.067921	-3.8674	-0.04615512	CEACAM5	
HS.573062	0.552	0.0473624	2.067714	-3.8678	0.06241324	HS.573062	
COL19A1	0.552	0.0473909	2.06743	-3.8682	0.05135596	COL19A1	
LOC648705	0.552	0.047397	2.067369	-3.8683	0.1729951	LOC648705	
LOC100132966	0.552	0.0474009	2.06733	-3.8684	0.16418147	LOC100132966	
MGC33556	0.552	0.0474088	2.067251	-3.8685	0.32177486	MGC33556	
LOC642808	0.552	0.0474218	2.067122	-3.8687	0.06073353	LOC642808	
NPC1	0.552	0.0474317	-2.067024	-3.8689	-0.26589164	NPC1	
MXRA8	0.552	0.0474431	2.06691	-3.8691	0.06092176	MXRA8	
XPA	0.552	0.0474438	2.066903	-3.8691	0.10468542	XPA	
USP10	0.552	0.0474495	-2.066847	-3.8692	-0.23941711	USP10	
ZYX	0.552	0.0474515	-2.066827	-3.8692	-0.18068841	ZYX	
MGC16169	0.552	0.0474546	-2.066796	-3.8693	-0.1756651	MGC16169	
FOLR2	0.552	0.0474599	-2.066743	-3.8693	-0.22256902	FOLR2	
ATP5L	0.552	0.0474696	-2.066646	-3.8695	-0.08783037	ATP5L	
LOC727833	0.552	0.0474759	-2.066583	-3.8696	-0.0486208	LOC727833	
MOBP	0.552	0.0474908	-2.066436	-3.8698	-0.03617968	MOBP	
FAR2	0.553	0.047556	-2.065787	-3.8709	-0.21509136	FAR2	
RPRD1A	0.553	0.0475936	-2.065415	-3.8715	-0.0920251	RPRD1A	
TMEM95	0.553	0.0476006	2.065345	-3.8716	0.05975	TMEM95	
SIRPB1	0.553	0.0476385	-2.064969	-3.8722	-0.31092612	SIRPB1	
LOC100190938	0.553	0.0476396	2.064958	-3.8723	0.39272167	LOC100190938	
SPATA2	0.553	0.0476557	-2.064798	-3.8725	-0.09834828	SPATA2	
HS.308802	0.553	0.0476565	-2.064791	-3.8725	-0.05946589	HS.308802	
LOC100134584	0.553	0.0476593	2.064763	-3.8726	0.19178289	LOC100134584	
LOC731444	0.553	0.0476756	2.064601	-3.8728	0.05703736	LOC731444	
KCNJ2	0.553	0.0477149	2.064212	-3.8735	0.69338088	KCNJ2	
LOC731898	0.553	0.0477158	2.064203	-3.8735	0.0584483	LOC731898	
OR6A2	0.553	0.0477749	2.063618	-3.8744	0.05787824	OR6A2	
CCDC101	0.553	0.0478167	2.063205	-3.8751	0.12039832	CCDC101	
PEX3	0.554	0.0478438	2.062937	-3.8756	0.04690851	PEX3	
MAP7D3	0.554	0.0478718	2.06266	-3.876	0.09538695	MAP7D3	
LOC728532	0.554	0.0478961	-2.062421	-3.8764	-0.19353644	LOC728532	
FTHL2	0.554	0.0479449	2.061939	-3.8772	0.30952732	FTHL2	
KIF2B	0.554	0.0479744	-2.061649	-3.8777	-0.04984589	KIF2B	
POLDIP2	0.554	0.0479946	-2.061449	-3.878	-0.13014163	POLDIP2	
LOC100131046	0.554	0.048003	-2.061366	-3.8781	-0.04893765	LOC100131046	
LOC257396	0.554	0.0480288	2.061112	-3.8785	0.09093847	LOC257396	
C21ORF34	0.554	0.0480661	2.060745	-3.8791	0.05794051	C21ORF34	
COPS5	0.554	0.0480771	-2.060637	-3.8793	-0.12265227	COPS5	
LOC644573	0.554	0.0480802	2.060606	-3.8793	0.08149481	LOC644573	
PSMB4	0.554	0.0481366	-2.060052	-3.8803	-0.13232197	PSMB4	
POFUT1	0.554	0.0481366	2.060052	-3.8803	0.33359623	POFUT1	
C1ORF50	0.554	0.0481555	-2.059866	-3.8806	-0.11003549	C1ORF50	
OPRD1	0.554	0.0481669	2.059754	-3.8807	0.11174156	OPRD1	
LOC644962	0.554	0.0481677	-2.059746	-3.8808	-0.05144751	LOC644962	
KCNH4	0.554	0.0481711	-2.059713	-3.8808	-0.0952252	KCNH4	
YPEL5	0.554	0.0482326	2.05911	-3.8818	0.24598861	YPEL5	
SPG21	0.554	0.0482463	-2.058975	-3.882	-0.13769479	SPG21	
TYSND1	0.554	0.0482549	2.058891	-3.8821	0.10119475	TYSND1	
SPACA3	0.554	0.0482731	2.058712	-3.8824	0.06608053	SPACA3	
POT1	0.554	0.0482935	-2.058512	-3.8828	-0.05758844	POT1	
CEACAM8	0.554	0.0483062	-2.058388	-3.883	-0.49761308	CEACAM8	
LOC645438	0.554	0.0483306	-2.058149	-3.8834	-0.0505145	LOC645438	
GIYD1	0.554	0.0483588	-2.057873	-3.8838	-0.15790086	GIYD1	
LOC644045	0.554	0.0483723	-2.057741	-3.884	-0.07277866	LOC644045	
LOC100129878	0.554	0.0483976	2.057493	-3.8844	0.04801184	LOC100129878	
MASTL	0.554	0.0484016	2.057454	-3.8845	0.17560418	MASTL	
TMEM9B	0.554	0.0484082	-2.05739	-3.8846	-0.11953985	TMEM9B	
HSD17B7	0.554	0.0484123	2.057349	-3.8847	0.4843043	HSD17B7	
CEACAM6	0.554	0.0484128	-2.057345	-3.8847	-0.45377906	CEACAM6	
HS.583553	0.554	0.0484528	2.056954	-3.8853	0.04664236	HS.583553	
ZNF160	0.554	0.0484586	-2.056897	-3.8854	-0.11829343	ZNF160	
TAPBPL	0.554	0.0485126	-2.05637	-3.8862	-0.18419173	TAPBPL	
KCTD12	0.554	0.0485351	-2.056151	-3.8866	-0.52053089	KCTD12	
MGC27165	0.554	0.048552	-2.055985	-3.8869	-0.05398473	MGC27165	
MOSPD2	0.554	0.0485565	-2.055942	-3.8869	-0.2917985	MOSPD2	
MFSD5	0.554	0.0485642	-2.055867	-3.8871	-0.23082643	MFSD5	
TMCO3	0.554	0.0485786	-2.055726	-3.8873	-0.20493988	TMCO3	
LOC729669	0.554	0.0486134	2.055387	-3.8878	0.07234788	LOC729669	
HS.553070	0.554	0.0486166	-2.055356	-3.8879	-0.05053996	HS.553070	
DEFB114	0.554	0.0486363	-2.055164	-3.8882	-0.0518097	DEFB114	
LPCAT1	0.554	0.0486433	-2.055096	-3.8883	-0.12175869	LPCAT1	
LOC132706	0.554	0.0486483	-2.055047	-3.8884	-0.0608552	LOC132706	
LOC644774	0.554	0.0486671	-2.054865	-3.8887	-0.13475596	LOC644774	
CES4	0.554	0.0486882	-2.054659	-3.889	-0.17907052	CES4	
LOC650599	0.554	0.0486973	-2.054571	-3.8892	-0.05456039	LOC650599	
IL17REL	0.554	0.0487088	2.054459	-3.8894	0.07208882	IL17REL	
TOB2	0.554	0.0487149	-2.054399	-3.8895	-0.1016509	TOB2	
LPHN2	0.554	0.0487365	2.054189	-3.8898	0.06222601	LPHN2	
PYDC2	0.554	0.0487455	2.054102	-3.8899	0.05612226	PYDC2	
MSC	0.554	0.0487465	2.054092	-3.8899	0.53450542	MSC	
C14ORF68	0.554	0.0487515	-2.054043	-3.89	-0.05641639	C14ORF68	
PPM1A	0.554	0.0487593	2.053967	-3.8902	0.17491682	PPM1A	
PLK3	0.554	0.0487912	2.053658	-3.8907	0.28035799	PLK3	
HS.570965	0.554	0.0488177	2.053401	-3.8911	0.08034814	HS.570965	
PTRH2	0.554	0.0488355	-2.053228	-3.8914	-0.17409348	PTRH2	
LOC644852	0.554	0.0488545	2.053043	-3.8917	0.21438699	LOC644852	
LOC643809	0.554	0.0488677	-2.052916	-3.8919	-0.10404924	LOC643809	
LOC730760	0.554	0.0488818	2.052779	-3.8921	0.04230425	LOC730760	
ASAH2	0.554	0.048926	2.052351	-3.8928	0.03622108	ASAH2	
CCR1	0.554	0.0489299	-2.052313	-3.8928	-0.44070127	CCR1	
RNY3	0.554	0.0489411	2.052205	-3.893	0.42748851	RNY3	
LOC100133542	0.554	0.0489418	-2.052198	-3.893	-0.0636033	LOC100133542	
LOC644365	0.554	0.0489653	2.05197	-3.8934	0.06528419	LOC644365	
CCBE1	0.554	0.0489678	2.051946	-3.8934	0.58107915	CCBE1	
SCARNA9	0.554	0.0489684	2.05194	-3.8934	0.43169547	SCARNA9	
LOC389203	0.554	0.0489686	-2.051938	-3.8934	-0.1512799	LOC389203	
MT1IP	0.554	0.0489792	-2.051835	-3.8936	-0.0536499	MT1IP	
ODF2L	0.554	0.049025	2.051392	-3.8943	0.09356368	ODF2L	
LOC648170	0.554	0.0490348	-2.051298	-3.8945	-0.05441935	LOC648170	
APOC3	0.554	0.0490503	2.051148	-3.8947	0.05761774	APOC3	
LOC100130086	0.554	0.0490531	-2.051121	-3.8948	-0.07489556	LOC100130086	
LOC653165	0.554	0.0490557	2.051095	-3.8948	0.06427239	LOC653165	
HS.572495	0.554	0.0490617	2.051038	-3.8949	0.12292556	HS.572495	
MED28	0.554	0.0491088	-2.050583	-3.8956	-0.13757051	MED28	
HS.560984	0.554	0.0491111	2.050561	-3.8957	0.09190503	HS.560984	
FBXW2	0.554	0.0491309	-2.05037	-3.896	-0.13636908	FBXW2	
HS.545338	0.554	0.0491493	2.050192	-3.8963	0.06717497	HS.545338	
LOC729198	0.554	0.0491742	2.049952	-3.8967	0.03838248	LOC729198	
HS.123278	0.555	0.0492497	2.049224	-3.8979	0.05721102	HS.123278	
LOC100130413	0.555	0.0492528	2.049194	-3.8979	0.07341024	LOC100130413	
AP3M1	0.555	0.0492529	-2.049193	-3.8979	-0.22884677	AP3M1	
HS.254477	0.555	0.049265	2.049077	-3.8981	0.12186745	HS.254477	
LOC731479	0.555	0.0492781	-2.048951	-3.8983	-0.05684003	LOC731479	
LOC653097	0.555	0.049308	2.048663	-3.8988	0.06042493	LOC653097	
LOC646331	0.555	0.0493185	2.048562	-3.8989	0.07895231	LOC646331	
TCEB2	0.555	0.0493242	-2.048508	-3.899	-0.12125953	TCEB2	
LOC100133772	0.555	0.0493363	2.048391	-3.8992	0.36927587	LOC100133772	
LOC729580	0.555	0.0494051	-2.04773	-3.9003	-0.22445078	LOC729580	
CCDC134	0.555	0.0494362	-2.047431	-3.9008	-0.08668089	CCDC134	
MAP3K6	0.555	0.0494368	2.047425	-3.9008	0.17617565	MAP3K6	
NR4A2	0.555	0.0494631	2.047173	-3.9012	0.63317833	NR4A2	
RIF1	0.555	0.0494746	2.047063	-3.9014	0.12429234	RIF1	
FBXO33	0.555	0.0494792	2.047019	-3.9014	0.32878508	FBXO33	
SIGLEC15	0.555	0.0495101	2.046723	-3.9019	0.06424919	SIGLEC15	
LOC148915	0.555	0.0495142	-2.046684	-3.902	-0.13797745	LOC148915	
PDE4C	0.555	0.049532	2.046512	-3.9023	0.32504645	PDE4C	
SERPINC1	0.555	0.0495328	-2.046505	-3.9023	-0.05024018	SERPINC1	
HSD17B10	0.555	0.0495357	-2.046477	-3.9023	-0.16928542	HSD17B10	
MS4A6E	0.555	0.0496185	-2.045685	-3.9036	-0.05630927	MS4A6E	
FCHSD2	0.555	0.0496318	2.045557	-3.9038	0.16951148	FCHSD2	
LOC100128098	0.555	0.0496411	2.045469	-3.9039	0.56606393	LOC100128098	
TSEN15	0.555	0.0496448	-2.045432	-3.904	-0.11847992	TSEN15	
IFRD1	0.555	0.0496488	2.045395	-3.9041	0.23749961	IFRD1	
HS.544884	0.555	0.0496593	-2.045294	-3.9042	-0.08540038	HS.544884	
LOC390834	0.555	0.0496852	-2.045047	-3.9046	-0.06110085	LOC390834	
LOC650887	0.555	0.0496853	2.045046	-3.9046	0.07674823	LOC650887	
RAD54L2	0.555	0.049687	2.04503	-3.9047	0.20313201	RAD54L2	
LOC100134159	0.555	0.0496889	2.045012	-3.9047	0.4433252	LOC100134159	
LOC728476	0.555	0.0497157	-2.044755	-3.9051	-0.12911771	LOC728476	
HS.121203	0.555	0.0497559	2.044371	-3.9057	0.06259149	HS.121203	
HS.373705	0.555	0.0497592	2.04434	-3.9058	0.09005854	HS.373705	
LOC649299	0.555	0.0498102	-2.043853	-3.9066	-0.05383086	LOC649299	
MIR215	0.555	0.0498159	-2.043799	-3.9066	-0.05828445	MIR215	
BRCC3	0.555	0.0498175	-2.043784	-3.9067	-0.17043418	BRCC3	
DYRK4	0.555	0.0498384	-2.043584	-3.907	-0.14653002	DYRK4	
CALR	0.555	0.0498642	-2.043338	-3.9074	-0.13767897	CALR	
LRRC24	0.555	0.0498697	2.043287	-3.9075	0.06441569	LRRC24	
PEX6	0.555	0.0498812	2.043177	-3.9077	0.21370059	PEX6	
MRE11A	0.555	0.0499431	-2.042588	-3.9086	-0.0975934	MRE11A	
PRKCZ	0.555	0.0499541	2.042483	-3.9088	0.10084712	PRKCZ	
XAGE1A	0.555	0.049961	2.042417	-3.9089	0.1640443	XAGE1A	
TNFRSF1B	0.555	0.0499633	-2.042395	-3.9089	-0.30426625	TNFRSF1B	
DOCK4	0.555	0.0499824	2.042214	-3.9092	0.06216084	DOCK4	
SDCCAG8	0.555	0.0499845	-2.042194	-3.9092	-0.11143198	SDCCAG8	
LOC730242	0.555	0.0499877	2.042164	-3.9093	0.05318944	LOC730242	
LOC100131982	0.555	0.0500038	2.042011	-3.9095	0.077083	LOC100131982	
VAMP3	0.555	0.0500155	-2.041899	-3.9097	-0.22814692	VAMP3	
NGEF	0.555	0.0500294	-2.041768	-3.9099	-0.06519506	NGEF	
LOC100134235	0.555	0.0500664	2.041417	-3.9105	0.05415962	LOC100134235	
RBM34	0.555	0.0500844	2.041246	-3.9108	0.16916024	RBM34	
LOC728557	0.555	0.0500938	2.041156	-3.9109	0.06101999	LOC728557	
LOC390530	0.555	0.050152	2.040604	-3.9118	0.21205818	LOC390530	
LOC647919	0.555	0.050154	2.040585	-3.9119	0.06751047	LOC647919	
LOC100130005	0.556	0.050255	-2.039629	-3.9134	-0.05410184	LOC100130005	
GOLM1	0.556	0.0502683	-2.039503	-3.9136	-0.15244432	GOLM1	
TTC1	0.557	0.050341	-2.038816	-3.9147	-0.15765696	TTC1	
SEC23IP	0.557	0.0503729	-2.038515	-3.9152	-0.28446146	SEC23IP	
DKFZP434K191	0.557	0.0503947	2.038309	-3.9155	0.24692315	DKFZP434K191	
LOC727863	0.557	0.0503976	2.038281	-3.9156	0.0496163	LOC727863	
UFM1	0.557	0.0504233	2.03804	-3.916	0.11645501	UFM1	
RIC8B	0.557	0.0504731	2.03757	-3.9167	0.10411624	RIC8B	
LOC100130564	0.557	0.0504835	-2.037472	-3.9169	-0.06584764	LOC100130564	
LOC652322	0.557	0.0504875	2.037434	-3.9169	0.09559819	LOC652322	
LOC730995	0.558	0.0505474	2.03687	-3.9179	0.27544241	LOC730995	
LOC651556	0.558	0.0505623	-2.03673	-3.9181	-0.08262377	LOC651556	
EPB41L3	0.558	0.0505695	-2.036662	-3.9182	-0.38018012	EPB41L3	
LOC93349	0.558	0.0506265	-2.036126	-3.9191	-0.10827011	LOC93349	
PXDNL	0.558	0.0507294	-2.035159	-3.9206	-0.03469401	PXDNL	
WDR75	0.558	0.050735	2.035107	-3.9207	0.32939647	WDR75	
MSH3	0.558	0.0507443	2.03502	-3.9208	0.11427578	MSH3	
PGK2	0.558	0.0507528	-2.03494	-3.921	-0.04430847	PGK2	
HS.136788	0.558	0.0507558	2.034912	-3.921	0.07094627	HS.136788	
ATP6V1H	0.558	0.0507568	-2.034902	-3.921	-0.15227511	ATP6V1H	
BAT4	0.558	0.0507805	-2.03468	-3.9214	-0.10742157	BAT4	
PDK4	0.558	0.0507862	-2.034627	-3.9215	-0.56505214	PDK4	
SLCO6A1	0.559	0.0508131	-2.034375	-3.9219	-0.04841497	SLCO6A1	
GLIPR2	0.559	0.0508254	-2.03426	-3.9221	-0.19830616	GLIPR2	
KRTAP24-1	0.559	0.0508708	-2.033834	-3.9228	-0.05737322	KRTAP24-1	
KRTAP19-4	0.559	0.0508826	2.033724	-3.9229	0.07758574	KRTAP19-4	
HS.580305	0.559	0.0508938	-2.03362	-3.9231	-0.07569412	HS.580305	
FNTA	0.559	0.0509252	-2.033326	-3.9236	-0.20234558	FNTA	
RALGAPA1	0.559	0.0509551	2.033046	-3.924	0.16163149	RALGAPA1	
UBFD1	0.559	0.0509583	-2.033016	-3.9241	-0.12178702	UBFD1	
LOC728111	0.559	0.0510281	2.032364	-3.9251	0.06777862	LOC728111	
RNF5P1	0.559	0.0510301	-2.032346	-3.9252	-0.17297577	RNF5P1	
LOC646223	0.559	0.051031	-2.032337	-3.9252	-0.07620068	LOC646223	
KIAA0240	0.559	0.0510401	2.032252	-3.9253	0.15972276	KIAA0240	
ARMC7	0.559	0.0510409	-2.032245	-3.9253	-0.26181011	ARMC7	
HS.298873	0.559	0.0510789	2.031891	-3.9259	0.20225229	HS.298873	
MIR759	0.559	0.0510899	2.031788	-3.9261	0.07349497	MIR759	
LOC645402	0.559	0.0511207	2.031501	-3.9265	0.04824579	LOC645402	
PLA2G2C	0.559	0.0511486	2.03124	-3.9269	0.10499686	PLA2G2C	
PAFAH1B2	0.56	0.0512506	-2.030292	-3.9285	-0.097764	PAFAH1B2	
MYO3B	0.56	0.0512729	2.030084	-3.9288	0.22629276	MYO3B	
TEX2	0.56	0.0512899	-2.029927	-3.9291	-0.1276216	TEX2	
ZWILCH	0.56	0.0513042	-2.029794	-3.9293	-0.06272423	ZWILCH	
TBL1Y	0.56	0.0513046	-2.029789	-3.9293	-0.03388482	TBL1Y	
PCDHAC2	0.56	0.0513161	2.029683	-3.9295	0.0453396	PCDHAC2	
HS.539945	0.56	0.0513248	2.029602	-3.9296	0.08349472	HS.539945	
NFKBID	0.56	0.0513278	2.029574	-3.9296	0.2103274	NFKBID	
LOC255025	0.56	0.0513403	2.029458	-3.9298	0.06038398	LOC255025	
PLCL2	0.56	0.0513677	2.029204	-3.9302	0.12628804	PLCL2	
LOC399491	0.56	0.0513781	2.029108	-3.9304	0.38809229	LOC399491	
FLJ20972	0.56	0.0514241	2.028681	-3.9311	0.06016311	FLJ20972	
C9ORF6	0.56	0.051501	-2.027969	-3.9322	-0.13146896	C9ORF6	
HOXD13	0.56	0.0515043	2.027938	-3.9323	0.08804907	HOXD13	
LOC652355	0.56	0.0515088	-2.027896	-3.9323	-0.04047741	LOC652355	
ATP8A2	0.56	0.0515548	-2.027471	-3.933	-0.05881692	ATP8A2	
LOC205251	0.56	0.0515686	-2.027342	-3.9332	-0.20521545	LOC205251	
ALG1	0.56	0.0516219	-2.02685	-3.934	-0.12156593	ALG1	
HS.573492	0.56	0.051625	2.026821	-3.9341	0.06962254	HS.573492	
LOC649864	0.56	0.0516262	2.02681	-3.9341	0.26520491	LOC649864	
TMEM164	0.56	0.0516366	2.026714	-3.9342	0.08997217	TMEM164	
GPBP1	0.56	0.0516568	2.026527	-3.9345	0.12952382	GPBP1	
LAMB3	0.56	0.0516637	2.026464	-3.9346	0.1443618	LAMB3	
LOC730167	0.56	0.0516755	2.026355	-3.9348	0.3331932	LOC730167	
LOC651410	0.56	0.051678	-2.026332	-3.9348	-0.06423664	LOC651410	
DDX19A	0.56	0.0516832	-2.026283	-3.9349	-0.09962465	DDX19A	
HS.576542	0.56	0.0516995	2.026133	-3.9352	0.090251	HS.576542	
STMN3	0.56	0.0517089	2.026046	-3.9353	0.27824809	STMN3	
TP53I13	0.56	0.0517454	2.02571	-3.9358	0.23704554	TP53I13	
LOC730020	0.56	0.0517658	2.025522	-3.9362	0.17179763	LOC730020	
PABPC1L	0.56	0.051769	2.025492	-3.9362	0.46812588	PABPC1L	
MAP3K8	0.56	0.0517744	2.025442	-3.9363	0.65920571	MAP3K8	
PCDHGA4	0.56	0.0517874	2.025323	-3.9365	0.04042728	PCDHGA4	
THOP1	0.56	0.0517964	2.02524	-3.9366	0.12136637	THOP1	
SAMM50	0.56	0.0518109	-2.025106	-3.9368	-0.14593895	SAMM50	
BTBD1	0.56	0.0518135	-2.025083	-3.9369	-0.10088534	BTBD1	
CLEC14A	0.56	0.0518191	2.025031	-3.9369	0.06148888	CLEC14A	
GLRX	0.56	0.0518797	-2.024473	-3.9378	-0.20701842	GLRX	
AIM2	0.56	0.0519361	-2.023955	-3.9387	-0.26951188	AIM2	
GOLT1B	0.56	0.0519517	2.023811	-3.9389	0.21379858	GOLT1B	
GLP2R	0.56	0.0519841	2.023514	-3.9394	0.0476101	GLP2R	
C19ORF56	0.56	0.0519925	-2.023437	-3.9395	-0.12879961	C19ORF56	
LOC649979	0.56	0.0519938	2.023425	-3.9395	0.05829768	LOC649979	
HS.537603	0.56	0.051998	2.023386	-3.9396	0.0948036	HS.537603	
LOC654194	0.56	0.0520073	2.023301	-3.9397	0.14708263	LOC654194	
PDE1B	0.56	0.0520107	2.02327	-3.9398	0.11049459	PDE1B	
CHRNA10	0.56	0.0520148	-2.023232	-3.9398	-0.08478039	CHRNA10	
